arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,5,20,0.3299196936617739,0.6166521250831659,0.7590338887848718,0.5904303669405131
DeepSleepNet,5,21,0.32217924074353177,0.6203759044492354,0.7451085938962742,0.5758663574042968
DeepSleepNet,5,22,0.3158575699987173,0.5877444960004723,0.6906010110466205,0.5038182252975119
DeepSleepNet,5,23,0.3117392197765903,0.5715020858382344,0.7327045497097922,0.5540971707181458
DeepSleepNet,5,24,0.3064460399296091,0.5919859401617275,0.7095815390376334,0.5260291952249947
DeepSleepNet,5,25,0.29922140265746106,0.5488105494905037,0.6341275042126943,0.4446004974681048
DeepSleepNet,5,26,0.2936012624538275,0.6076099947195274,0.7123197903014417,0.5341613552384105
DeepSleepNet,5,27,0.28824821165273623,0.6224040875950212,0.7290769518816701,0.5574942066884261
DeepSleepNet,5,28,0.285402591193479,0.6422176811841211,0.7914716345253697,0.6395009421213114
DeepSleepNet,5,29,0.27878472342877014,0.6475875658353774,0.7591743119266054,0.5951658269316984
DeepSleepNet,5,30,0.2729833103926555,0.6167442419400555,0.7412001497846845,0.5692253702276964
DeepSleepNet,5,31,0.2697050858937668,0.6710030547643997,0.8132372214941023,0.6659830428000473
DeepSleepNet,5,32,0.2646657174293691,0.6613935809980708,0.7525510204081632,0.5900530290248285
DeepSleepNet,5,33,0.26348427198609836,0.6486487573754556,0.7979076951881671,0.6469176300259536
